"año","entidad","indicador","subcategoría","unidad de medida","dato_numerico_num"
2022,"San Marcos","Población total de hombres","Población desagregada por sexo","Hombres",30352
2022,"San Marcos","Población total de mujeres","Población desagregada por sexo","Mujeres",30573
2022,"Sucre","Población total de hombres","Población desagregada por sexo","Hombres",17255
2022,"Sucre","Población total de hombres","Población desagregada por sexo","Hombres",492082
2022,"Sucre","Población total de mujeres","Población desagregada por sexo","Mujeres",14869
2022,"Sucre","Población total de mujeres","Población desagregada por sexo","Mujeres",488860
2023,"Achí","Población total de hombres","Población desagregada por sexo","Hombres",14353
2023,"Achí","Población total de mujeres","Población desagregada por sexo","Mujeres",12642
2023,"Ayapel","Población total de hombres","Población desagregada por sexo","Hombres",24722
2023,"Ayapel","Población total de mujeres","Población desagregada por sexo","Mujeres",24034
2023,"Caimito","Población total de hombres","Población desagregada por sexo","Hombres",8761
2023,"Caimito","Población total de mujeres","Población desagregada por sexo","Mujeres",8205
2023,"Guaranda","Población total de hombres","Población desagregada por sexo","Hombres",9773
2023,"Guaranda","Población total de mujeres","Población desagregada por sexo","Mujeres",9182
2023,"Magangué","Población total de hombres","Población desagregada por sexo","Hombres",72703
2023,"Magangué","Población total de mujeres","Población desagregada por sexo","Mujeres",72332
2023,"Majagual","Población total de hombres","Población desagregada por sexo","Hombres",21516
2023,"Majagual","Población total de mujeres","Población desagregada por sexo","Mujeres",20085
2023,"Nechí","Población total de hombres","Población desagregada por sexo","Hombres",14320
2023,"Nechí","Población total de mujeres","Población desagregada por sexo","Mujeres",13385
2023,"San Benito Abad","Población total de hombres","Población desagregada por sexo","Hombres",16164
2023,"San Benito Abad","Población total de mujeres","Población desagregada por sexo","Mujeres",14786
2023,"San Jacinto del Cauca","Población total de hombres","Población desagregada por sexo","Hombres",5835
2023,"San Jacinto del Cauca","Población total de mujeres","Población desagregada por sexo","Mujeres",5189
2023,"San Marcos","Población total de hombres","Población desagregada por sexo","Hombres",30705
2023,"San Marcos","Población total de mujeres","Población desagregada por sexo","Mujeres",30974
2023,"Sucre","Población total de hombres","Población desagregada por sexo","Hombres",17488
2023,"Sucre","Población total de hombres","Población desagregada por sexo","Hombres",498455
2023,"Sucre","Población total de mujeres","Población desagregada por sexo","Mujeres",15085
2023,"Sucre","Población total de mujeres","Población desagregada por sexo","Mujeres",495605
2024,"Achí","Población total de hombres","Población desagregada por sexo","Hombres",14499
2024,"Achí","Población total de mujeres","Población desagregada por sexo","Mujeres",12767
2024,"Ayapel","Población total de hombres","Población desagregada por sexo","Hombres",24931
2024,"Ayapel","Población total de mujeres","Población desagregada por sexo","Mujeres",24260
2024,"Caimito","Población total de hombres","Población desagregada por sexo","Hombres",8851
2024,"Caimito","Población total de mujeres","Población desagregada por sexo","Mujeres",8330
2024,"Guaranda","Población total de hombres","Población desagregada por sexo","Hombres",9877
2024,"Guaranda","Población total de mujeres","Población desagregada por sexo","Mujeres",9293
2024,"Magangué","Población total de hombres","Población desagregada por sexo","Hombres",73309
2024,"Magangué","Población total de mujeres","Población desagregada por sexo","Mujeres",72894
2024,"Majagual","Población total de hombres","Población desagregada por sexo","Hombres",21782
2024,"Majagual","Población total de mujeres","Población desagregada por sexo","Mujeres",20360
2024,"Nechí","Población total de hombres","Población desagregada por sexo","Hombres",14426
2024,"Nechí","Población total de mujeres","Población desagregada por sexo","Mujeres",13475
2024,"San Benito Abad","Población total de hombres","Población desagregada por sexo","Hombres",16330
2024,"San Benito Abad","Población total de mujeres","Población desagregada por sexo","Mujeres",14976
2024,"San Jacinto del Cauca","Población total de hombres","Población desagregada por sexo","Hombres",5872
2024,"San Jacinto del Cauca","Población total de mujeres","Población desagregada por sexo","Mujeres",5241
2024,"San Marcos","Población total de hombres","Población desagregada por sexo","Hombres",31061
2024,"San Marcos","Población total de mujeres","Población desagregada por sexo","Mujeres",31300
2024,"Sucre","Población total de hombres","Población desagregada por sexo","Hombres",17714
2024,"Sucre","Población total de hombres","Población desagregada por sexo","Hombres",504331
2024,"Sucre","Población total de mujeres","Población desagregada por sexo","Mujeres",15269
2024,"Sucre","Población total de mujeres","Población desagregada por sexo","Mujeres",501713
2025,"Achí","Población total de hombres","Población desagregada por sexo","Hombres",14618
2025,"Achí","Población total de mujeres","Población desagregada por sexo","Mujeres",12892
2025,"Ayapel","Población total de hombres","Población desagregada por sexo","Hombres",25107
2025,"Ayapel","Población total de mujeres","Población desagregada por sexo","Mujeres",24446
2025,"Caimito","Población total de hombres","Población desagregada por sexo","Hombres",8958
2025,"Caimito","Población total de mujeres","Población desagregada por sexo","Mujeres",8434
2025,"Guaranda","Población total de hombres","Población desagregada por sexo","Hombres",9960
2025,"Guaranda","Población total de mujeres","Población desagregada por sexo","Mujeres",9404
2025,"Magangué","Población total de hombres","Población desagregada por sexo","Hombres",73805
2025,"Magangué","Población total de mujeres","Población desagregada por sexo","Mujeres",73385
2025,"Majagual","Población total de hombres","Población desagregada por sexo","Hombres",22036
2025,"Majagual","Población total de mujeres","Población desagregada por sexo","Mujeres",20624
2025,"Nechí","Población total de hombres","Población desagregada por sexo","Hombres",14513
2025,"Nechí","Población total de mujeres","Población desagregada por sexo","Mujeres",13587
2025,"San Benito Abad","Población total de hombres","Población desagregada por sexo","Hombres",16500
2025,"San Benito Abad","Población total de mujeres","Población desagregada por sexo","Mujeres",15133
2025,"San Jacinto del Cauca","Población total de hombres","Población desagregada por sexo","Hombres",5914
2025,"San Jacinto del Cauca","Población total de mujeres","Población desagregada por sexo","Mujeres",5261
2025,"San Marcos","Población total de hombres","Población desagregada por sexo","Hombres",31357
2025,"San Marcos","Población total de mujeres","Población desagregada por sexo","Mujeres",31610
2025,"Sucre","Población total de hombres","Población desagregada por sexo","Hombres",17923
2025,"Sucre","Población total de hombres","Población desagregada por sexo","Hombres",509620
2025,"Sucre","Población total de mujeres","Población desagregada por sexo","Mujeres",15437
2025,"Sucre","Población total de mujeres","Población desagregada por sexo","Mujeres",507206
