TABLA 4. SUPERFICIE TOTAL Y APROVECHAMIENTO DE LA TIERRA A NIVEL NACIONAL - 2000 - 2016,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
Vegetaciones especiales1,,,,,,,,,,,,,4015055.7989322823,2964463.666869686,2974090.9947726396,2157446.423764483,6724171.794657579
Bosques,8081363.0,7678206.0,7728244.0,7436980.0,7473812.0,7284819.0,7726761.0,7572758.0,7267956.254302625,7420425.0286429925,7148611.701111774,3650051.0,3594002.9074441777,3897645.397549103,3632737.2757085706,3802123.027555875,5327092.148643214
Naturales ,7827886.0,7451874.0,7496748.0,7192833.0,7219036.0,7033990.0,7457475.0,7212899.0,6927811.51207551,7036203.77977284,6735210.424011345,3236317.0,3197911.5499240295,3466546.155415511,3190265.0298869195,3338794.177685945,4682690.992019389
Plantados,253477.0,226332.0,231496.0,244147.0,254776.0,250829.0,269286.0,359859.0,340144.742227115,384221.248870152,413401.27710042876,413734.0,396091.3575201482,431099.2421335917,442472.24582165125,463328.84986993,644401.1566238259
Otros usos *,1461458.0,1282433.0,1312046.0,1201998.0,1273613.0,1289614.0,1268918.0,1066977.0,1029273.38073343,982383.002968797,1055738.5743201894,1889813.0,1001152.0,800253.2266758287,916414.4522010417,860347.7415833386,1109728.4759878588
,,,,,,,,,,,,,,,,,
FUENTE: 2000-2005 MADR- DANE. 2006-2009 MADR- CCI. 2010 MADR-CCI-DANE. 2011 - 2014-DANE-Encuesta Nacional Agropecuaria para 22 departamentos,,,,,,,,,,,,,,,,,
"* Incluye cuerpos de agua, eriales, superficie urbana - semiurbana y superficies marginalmente cultivables en parques naturales. En el año 2011 se adiciono a otros usos el área perdida.",,,,,,,,,,,,,,,,,
"** Las fluctuaciones se deben fundamentalmente a que en el 2002, se encontró gran cantidad de fincas abandonadas, por lo cual fueron clasificadas como malezas y rastrojos por el encuestador.",,,,,,,,,,,,,,,,,
"***  Para el año 2011  se adicionaron los dominios (Área con presencia de palma, banano y caña de azúcar).",,,,,,,,,,,,,,,,,
"Nota: Para el año 2011 las estimaciones corresponden al agregado de 22 departamentos: Antioquia, Atlántico, Bolívar, Boyacá, Caldas, Cauca, Casanare, Cesar, Córdoba; Cundinamarca, Huila, La Guajira, Magdalena, Meta, Nariño, Norte de Santander, Quindío, Risaralda, Santander, Sucre, Tolima y Valle del Cauca. A partir de 2016 corresponde a 26 departamnetos.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
NI: No informaron,,,,,,,,,,,,,,,,,
